categories = ['Arts and Entertainment', 'Business and Consumer Services', 'Community and Society', 'Computers Electronics and Technology', 'eCommerce and Shopping', 'Finance', 'Food and Drink', 'Gambling', 'Games', 'Health', 'Heavy Industry and Engineering', 'Hobbies and Leisure', 'Home and Garden', 'Jobs and Career', 'Law and Government', 'Lifestyle', 'News and Media Publishers', 'Pets and Animals', 'Reference Materials', 'Science and Education', 'Sports', 'Travel and Tourism', 'Vehicles', 'Adult']

Extension,index,load_time,website,key
disconnect,81,-5230,www.cqkjwx.com,NULL
disconnect,82,-5229,www.dlsite.com,Adult
disconnect,83,-5191,www.today.com,News
disconnect,84,-5056,www.glassdoor.com,Jobs & Education
disconnect,85,-5040,bestfonts.pro,NULL
disconnect,86,-5014,www.sina.com.cn,Sports
ghostery,1,-206028,www.tordarkmarketurl.shop,NULL
ghostery,2,-66910,www.teamcolorcodes.com,NULL
ghostery,3,-54442,www.lastnighton.com,NULL
ghostery,4,-42935,www.cqkjwx.com,NULL
ghostery,5,-39296,www.thesun.co.uk,News
ghostery,6,-39147,www.360doc.com,NULL
ghostery,7,-37241,www.hollywoodreporter.com,News
ghostery,8,-36578,www.schooldigger.com,NULL
ghostery,9,-36066,www.techradar.com,News
ghostery,10,-35429,www.livescience.com,Science
ghostery,11,-32620,www.huffpost.com,News
ghostery,12,-30157,www.nypost.com,News
ghostery,13,-27990,www.huffingtonpost.com,News
ghostery,14,-26076,www.reuters.com,News
ghostery,15,-25134,www.foxnews.com,News
ghostery,16,-24125,www.variety.com,Arts & Entertainment
ghostery,17,-24060,www.box.com,Sports
ghostery,18,-23812,www.rollingstone.com,Arts & Entertainment
ghostery,19,-22029,www.mlb.com,Sports
ghostery,20,-21155,www.dictionary.com,Reference
ghostery,21,-20931,www.smithsonianmag.com,Reference
ghostery,22,-20181,www.speedtest.net,Computer
ghostery,23,-19937,www.careerindia.com,NULL
ghostery,24,-19786,www.arstechnica.com,NULL
ghostery,25,-19461,www.codexnomina.com,NULL
ghostery,26,-18658,www.pornhub.com,Adult
ghostery,27,-17778,www.time.com,News
ghostery,28,-17691,www.slate.com,News
ghostery,29,-17597,www.gitee.com,NULL
ghostery,30,-17529,www.sfgate.com,News
ghostery,31,-16839,www.nicovideo.jp,Arts-and-Entertainment
ghostery,32,-16596,www.ifeng.com,NULL
ghostery,33,-15750,www.eventbrite.com,Arts & Entertainment
ghostery,34,-15593,www.marinelink.com,NULL
ghostery,35,-15149,www.thehill.com,News
ghostery,36,-15057,www.netscape.com,NULL
ghostery,37,-14771,www.wired.com,NULL
ghostery,38,-14207,www.chron.com,News
ghostery,39,-13735,www.zhipin.com,Jobs-and-Career
ghostery,40,-13066,www.marketwatch.com,Business & Industrial
ghostery,41,-12274,www.metsmerizedonline.com,NULL
ghostery,42,-12038,www.britannica.com,Reference
ghostery,43,-11999,www.rusjev.net,NULL
ghostery,44,-11407,www.atlassian.net,Computers & Electronics
ghostery,45,-11250,www.newyorker.com,News
ghostery,46,-10957,www.forbes.com,News
ghostery,47,-10739,www.lifehacker.com,NULL
ghostery,48,-10710,www.usatoday.com,News
ghostery,49,-10224,www.digitaltrends.com,Science
ghostery,50,-10139,www.cnn.com,News
ghostery,51,-9670,www.thetimes.co.uk,News
ghostery,52,-9459,www.ndtv.com,News
ghostery,53,-9249,www.genius.com,Arts & Entertainment
ghostery,54,-9095,www.news.com.au,Sports
ghostery,55,-8970,www.moneycontrol.com,Finance
ghostery,56,-8894,www.thedailybeast.com,Arts & Entertainment
ghostery,57,-8720,www.pcmag.com,Shopping
ghostery,58,-8642,www.ign.com,Games
ghostery,59,-8480,www.wowhead.com,Arts & Entertainment
ghostery,60,-8452,www.newscientist.com,NULL
ghostery,61,-8317,www.notthebee.com,Arts & Entertainment
ghostery,62,-7920,www.gamespot.com,Games
ghostery,63,-7913,www.economist.com,News
ghostery,64,-7709,www.dytt8.net,NULL
ghostery,65,-7680,www.patient.info,NULL
ghostery,66,-7574,www.bestbuy.com,Computers-Electronics-and-Technology
ghostery,67,-7557,www.rcfl.com.hk,NULL
ghostery,68,-7548,www.shein.com,Lifestyle
ghostery,69,-7482,www.theverge.com,Computers & Electronics
ghostery,70,-7250,www.timeanddate.com,Science-and-Education
ghostery,71,-7014,www.hatena.ne.jp,NULL
ghostery,72,-6857,www.bizjournals.com,NULL
ghostery,73,-6281,www.zendesk.com,NULL
ghostery,74,-6253,www.livejournal.com,Online Communities
ghostery,75,-6214,www.verizon.com,Internet & Telecom
ghostery,76,-6140,www.zhcommerce.cn,NULL
ghostery,77,-6013,www.nreionline.com,NULL
